,row,col,StemTag,frac,Status_2024,Status_2025,crown_intact_2024,crown_intact_2025,crown_living_2024,crown_living_2025,BBD,BBD_severity,BLD,BLD_severity,FAD_2024,Fungi (F),Leaf Damage (LF),Insect Infection (I),Canker (K),Wound (W),Rot (R),Defolation (DF),Broken stem(B),Animal Damage (An),Hollow Stem (HS),Bark Beetles (BB),Unknown (U),notes,Heart Rot (H),Useable
41,15,7,110339,0.0003652064271159488,A,AU,98,100.0,96,100.0,1.0,"small cankers, scale insect, orange bark ",1.0,banded leaves,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Yes
42,4,19,281699,0.03230650182269066,AU,AU,91,100.0,90,95.0,1.0,"small cankers, orange bark",1.0,banded leaves,"I,W,K",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Yes
43,5,19,281525,0.010974451005597522,AU,AU,65,40.0,34,30.0,1.0,"large cankers, scale insect, orange bark",1.0,strongly banded leaves,"DF,I,K",0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,no canopy branches are alive all lower branches,0.0,Yes
44,4,19,281675,0.035816677264179114,AU,AU,95,100.0,81,95.0,1.0,"large cankers, orange bark",1.0,strongly banded leaves,K,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Yes
45,5,19,281675,0.018215281222232017,AU,AU,95,100.0,81,95.0,1.0,"large cankers, orange bark",1.0,strongly banded leaves,K,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Yes
46,6,19,281323,0.027971410530130726,AU,AU,90,90.0,78,75.0,1.0,"small cankers, scale insect",1.0,strongly banded leaves,"K,R,LF",1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,0.0,Yes
47,7,19,281323,2.3770950511933916e-05,AU,AU,90,90.0,78,75.0,1.0,"small cankers, scale insect",1.0,strongly banded leaves,"K,R,LF",1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,0.0,Yes
48,7,18,271345,0.01763689139151513,AU,AU,58,100.0,56,100.0,1.0,"small cankers, scale insect, fungi",1.0,banded leaves,"R,W,K,I",1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Yes
49,7,10,151427,0.025362240312604232,DS,DS,43,30.0,0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,Yes
50,1,14,211000,0.02717222132892357,DS,DS,48,48.0,0,0.0,1.0,"large cankers, scale insect, orange bark",,,"K,F,R,DF",1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,"disagreed with Hastings, drew new crown",1.0,Yes
51,2,14,211000,0.025653312103039384,DS,DS,48,48.0,0,0.0,1.0,"large cankers, scale insect, orange bark",,,"K,F,R,DF",1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,"disagreed with Hastings, drew new crown",1.0,Yes
52,4,18,271653,0.049803028674613434,AU,DS,33,30.0,12,0.0,1.0,big cankers,,,"R,W,F,K,B",1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,"Standing is subjective, it broke near the base and is leaning into other trees so it isn't completely upright",1.0,Yes
53,4,18,261302,0.008057367987662576,DS,DS,0,0.0,0,0.0,1.0,"big cankers, bark falling off hard to tell",,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,dead a long time,0.0,Yes
54,4,17,251485,0.038971760911671746,AU,AU,98,70.0,92,60.0,1.0,"big cankers, scale insect, orange bark",1.0,banded leaves,"W,R,K,I",0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,Yes
55,2,15,220932,0.01773395750407939,AU,AU,95,95.0,89,90.0,1.0,small cankers,1.0,banded leaves,"K,W",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Only a couple of leaves with BLD, very slight",0.0,Yes
56,3,13,201046,0.006543786589998454,AU,AU,58,60.0,53,60.0,1.0,"Small cankers, scale insect, orange bark ",1.0,"advanced, curled and dead leaves","B,W",0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,Yes
