,row,col,species,StemTag,frac
740,14,22,Unknown,131235,7.861528849471329
741,14,22,Unknown,131237,52.092975048209524
742,15,22,Unknown,131237,14.397413878612547
743,13,23,Unknown,131197,0.31077589313069853
744,14,22,Unknown,131197,6.251095487667957
745,14,23,Unknown,131197,28.641013801821995
746,14,23,Unknown,141367,5.177282581850287
747,15,23,Unknown,141367,1.0699893008529944
748,15,23,Unknown,141364,11.176322008738062
749,6,2,Unknown,032308,21.367829813829108
750,7,2,Unknown,032308,0.10095643362484193
751,2,4,Unknown,042568,5.752028164628463
752,3,4,Unknown,042568,11.166186192474875
753,3,4,Unknown,042565,20.767860371966293
754,3,5,Unknown,042565,0.1781268241940313
755,3,4,Unknown,042569,24.060446654341785
756,11,3,Unknown,041635,7.326798816244133
757,11,4,Unknown,041635,0.33906839071522643
758,12,3,Unknown,041635,7.951162014199589
759,12,4,Unknown,041635,0.004616341891391421
760,11,2,Unknown,031633,3.0234555868086574
761,11,3,Unknown,031633,14.848150904831044
762,12,2,Unknown,031633,7.253381074309603
763,12,3,Unknown,031633,29.182298302680465
764,12,4,Unknown,041772,0.6684252617965687
765,13,4,Unknown,041772,5.192316194631762
766,15,12,Unknown,081270,3.069367934124206
767,15,13,Unknown,081270,9.35255470375147
768,16,12,Unknown,081270,9.3418186960177
769,16,13,Unknown,081270,23.83659575371807
770,15,12,Unknown,081267,1.1885001659778418
771,16,12,Unknown,081267,13.930074518759481
772,15,12,Unknown,081370,5.271729051590405
773,15,12,Unknown,081369,5.904936406446125
774,15,13,Unknown,081369,1.3098495451698409
775,15,11,Unknown,081242,0.41239781384412616
776,15,12,Unknown,081242,0.5449901190628417
777,16,11,Unknown,081242,6.816859007741334
778,16,12,Unknown,081242,6.39361801604538
779,23,10,Unknown,071245,19.39752813507396
780,38,2,Unknown,040638,29.08037459250254
781,38,3,Unknown,040638,2.478633005489287
782,39,2,Unknown,040638,1.6462221556712027
783,37,2,Unknown,040653,19.20492102768853
784,37,3,Unknown,040653,15.051784200165896
785,37,2,Unknown,040652,3.490295351463204
786,37,3,Unknown,040652,14.592506925021784
787,38,2,Unknown,040652,6.335073015623266
788,38,3,Unknown,040652,24.301909145328402
789,38,3,Unknown,040647,7.245508040870384
790,3,29,Unknown,162196,11.412992065639024
791,3,30,Unknown,162196,8.660568973682727
792,4,29,Unknown,162196,27.006320111415416
793,4,30,Unknown,162196,3.203717382774371
794,3,27,Unknown,162183,5.085489270185642
795,3,28,Unknown,162183,20.06834776802559
796,4,27,Unknown,162183,6.9669996339770615
797,4,28,Unknown,162183,25.20367941099664
798,3,28,Unknown,162185,4.825521394640846
799,3,29,Unknown,162185,18.95533170822649
800,4,28,Unknown,162185,0.12416344032250436
801,4,29,Unknown,162185,12.587182583517542
802,3,28,Unknown,162169,0.4479540034461319
803,4,28,Unknown,162169,5.844640184433199
804,4,29,Unknown,162169,0.7286238239330729
805,6,28,Unknown,162110,1.2519692195956005
806,6,29,Unknown,162110,5.458616241035366
807,7,28,Unknown,162110,0.27262353958734575
808,7,29,Unknown,162110,11.427092925789918
809,6,28,Unknown,162143,10.279400663134306
810,7,28,Unknown,162143,7.9970253043316895
811,5,29,Unknown,162164,0.3312086657973178
812,6,28,Unknown,162164,3.7759758784022135
813,6,29,Unknown,162164,31.258721276381866
814,5,27,Unknown,152250,1.458408855511171
815,5,28,Unknown,152250,16.52324518613766
816,6,27,Unknown,152250,6.5106286990721465
817,6,28,Unknown,152250,36.67632712091546
818,6,29,Unknown,152250,0.22941830054944926
819,6,28,Unknown,162138,13.28158805799568
820,5,26,Unknown,152207,24.13679184315702
821,5,25,Unknown,152189,1.7560371666696897
822,5,26,Unknown,152189,4.100639391796371
823,6,25,Unknown,152189,13.082184275955008
824,6,26,Unknown,152189,11.963346598914978
825,5,24,Unknown,141941,0.05846438443875056
826,5,25,Unknown,141941,5.520981850256248
827,6,24,Unknown,141941,0.8442656395292341
828,6,25,Unknown,141941,5.861025931616987
829,4,24,Unknown,131629,1.1909759551149794
830,5,23,Unknown,131629,12.212638693979592
831,5,24,Unknown,131629,20.560425220705444
832,3,21,Unknown,121633,0.851321954201721
833,4,20,Unknown,121633,6.067071266315373
834,4,21,Unknown,121633,19.200697489350027
835,4,21,Unknown,121681,34.13996487271518
836,4,22,Unknown,121681,0.049107616280909
837,3,21,Unknown,121679,2.2694612405978463
838,3,22,Unknown,121679,2.7453126331200766
839,4,21,Unknown,121679,3.1832151050808437
840,4,22,Unknown,121679,1.5498425404405451
841,3,21,Unknown,121668,21.938859485123558
842,3,22,Unknown,121668,9.988004221782411
843,3,20,Unknown,121669,5.564356566880926
844,3,21,Unknown,121669,47.63858984588292
845,45,0,Unknown,040125,0.009495772627004876
846,45,1,Unknown,040125,26.247749630396726
847,46,0,Unknown,040125,0.6248124562989323
848,46,1,Unknown,040125,16.41263473929676
849,46,0,Unknown,030099,2.2334557151137093
850,45,0,Unknown,030142,17.665617019855233
851,46,0,Unknown,030142,12.811551826255585
852,45,0,Unknown,030153,0.10362834324451943
853,46,0,Unknown,030153,41.77837275057892
854,36,2,Unknown,040704,30.15180085055128
855,36,3,Unknown,040704,4.988332326066212
856,37,2,Unknown,040704,27.491800533772086
857,37,3,Unknown,040704,0.40264651804557233
858,37,3,Unknown,050612,5.464273779193071
859,37,4,Unknown,050612,3.326803801962288
860,38,3,Unknown,050612,23.082814601732963
861,38,4,Unknown,050612,16.59396731167591
862,37,3,Unknown,040659,29.692827223697794
863,38,2,Unknown,040648,12.07148499397271
864,27,2,Unknown,031074,3.719917211462588
865,28,2,Unknown,031074,1.9275228863351443
866,28,1,Unknown,031093,12.478786233393084
867,28,2,Unknown,031093,56.17189382341278
868,29,2,Unknown,031093,4.368870535880191
869,27,1,Unknown,031074,22.852949447204093
870,27,2,Unknown,031074,0.8545045421142203
871,21,10,Unknown,071311,24.16573754686732
872,21,11,Unknown,071311,1.4373414904809483
873,21,9,Unknown,071297,23.336509030711905
874,21,10,Unknown,071297,21.612244701077778
875,22,9,Unknown,071297,0.5367017481138915
876,22,10,Unknown,071297,5.605413199057285
877,22,10,Unknown,081092,0.0013685311532707382
878,22,11,Unknown,081092,13.302640514002187
879,22,10,Unknown,081108,0.3593395537761423
880,22,11,Unknown,081108,17.175387923323797
881,23,10,Unknown,081108,1.5742361071210396
882,23,11,Unknown,081108,16.435504889848165
883,22,10,Unknown,071243,22.6747127462761
884,23,10,Unknown,071243,10.205153811058304
885,15,12,Unknown,081371,22.82194261595166
886,15,12,Unknown,081264,1.2791260363971297
887,16,12,Unknown,081264,9.752059331093204
888,42,27,Unknown,160809,2.251298335397285
889,43,27,Unknown,160809,14.00262831569048
890,48,14,Unknown,100091,3.279394765914993
891,42,27,Unknown,170927,5.4124028881508535
892,42,28,Unknown,170927,1.140758752358249
893,42,26,Unknown,160958,44.735550573089
894,42,27,Unknown,160958,19.112815454088764
895,43,26,Unknown,160958,6.333602608786336
896,43,27,Unknown,160958,1.7004466248775336
897,43,26,Unknown,160816,0.6626322681303287
898,43,27,Unknown,160816,10.467249495725907
899,39,27,Unknown,171064,11.134461264917451
900,39,28,Unknown,171064,10.628470793959812
901,48,41,Unknown,240120,2.1104843994991382
902,48,42,Unknown,240120,12.400851512453762
903,49,42,Unknown,240120,0.7516795494257887
904,48,42,Unknown,250074,4.166226147427876
905,48,43,Unknown,250074,27.678577330474962
906,49,42,Unknown,250074,36.19082470928845
907,49,43,Unknown,250074,96.42245763983513
908,49,44,Unknown,250074,2.6808064854149896
909,50,42,Unknown,250074,0.8195561809794767
910,50,43,Unknown,250074,10.044612571078273
911,49,41,Unknown,240101,4.045074820994866
912,15,11,Unknown,081298,20.48849351593961
913,16,11,Unknown,081298,0.9992791857187557
914,14,8,Unknown,061581,7.4914453201848685
915,13,4,Unknown,041586,29.52365448889796
916,13,5,Unknown,041586,9.931007885056696
917,14,4,Unknown,041586,15.263631897327173
918,14,5,Unknown,041586,4.421023790796148
919,12,4,Unknown,041766,2.164123558444643
920,12,5,Unknown,041766,17.37155687804514
921,13,5,Unknown,041766,0.10236856910353512
922,13,4,Unknown,041771,0.9456911194042958
923,13,5,Unknown,041771,11.275753649860153
924,12,4,Unknown,041752,13.313448298549831
925,12,5,Unknown,041752,2.7366617366808925
926,11,4,Unknown,041711,19.412072180858615
927,12,4,Unknown,041711,2.7991711607100696
928,12,3,Unknown,041628,19.325323121140155
929,12,4,Unknown,041628,5.901297828961782
930,12,3,Unknown,041623,20.64010313039065
931,13,3,Unknown,041623,33.48111195717097
932,13,3,Unknown,041564,8.970454662199073
933,13,4,Unknown,041564,16.36698749395251
934,7,2,Unknown,032308,15.338664726751652
935,7,2,Unknown,032111,6.198747706881833
936,7,3,Unknown,032111,4.231278814581272
937,6,3,Unknown,032573,24.440580788562585
938,6,4,Unknown,032573,4.162202501179758
939,7,3,Unknown,032573,5.188359867713103
940,7,4,Unknown,032573,0.19597321057545822
941,7,3,Unknown,032138,2.938839556858583
942,5,2,Unknown,032557,0.005067763275767745
943,5,3,Unknown,032557,2.089319781226029
944,6,2,Unknown,032557,10.240864891928528
945,6,3,Unknown,032557,39.11875417945836
946,6,2,Unknown,032534,3.467875689026936
947,6,3,Unknown,032534,2.6398576059401018
948,7,2,Unknown,032534,1.8941061615104293
949,7,3,Unknown,032534,3.6052638085739206
950,2,4,Unknown,042601,0.9532770241200997
951,2,5,Unknown,042601,1.042198202978446
952,3,4,Unknown,042601,2.15319627941448
953,3,5,Unknown,042601,4.159422861549016
954,3,4,Unknown,042600,0.29765292853386716
955,3,5,Unknown,042600,39.42178912409138
956,3,3,Unknown,042458,0.27086538265377935
957,3,4,Unknown,042458,19.610820002594075
958,4,4,Unknown,042458,26.327079372401556
959,35,55,Unknown,300910,9.702265155256928
960,35,55,Unknown,311060,8.86115748759074
961,35,56,Unknown,311060,4.115420191369328
962,35,54,Unknown,300901,0.017569300479455277
963,35,55,Unknown,300901,10.11756755608825
964,35,54,Unknown,300905,4.172900869194506
965,35,55,Unknown,300905,2.866793349214737
966,34,54,Unknown,300978,5.494609039401586
967,34,55,Unknown,300978,34.483559918827744
968,35,54,Unknown,300978,0.074143595888078
969,35,55,Unknown,300978,12.273221402563957
970,41,53,Unknown,300593,2.813225058070898
971,41,53,Unknown,300570,1.6412779714280477
972,41,54,Unknown,300570,0.6611551932897204
973,38,55,Unknown,300828,8.073276935940179
